Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type
"Los Angeles, CA","San Antonio, TX",3666.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","San Antonio, TX",4512.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","San Diego, CA",189.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","San Diego, CA",199.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","San Diego, CA",219.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","San Diego, CA",248.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Dallas, TX",1728.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Dallas, TX",2426.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Dallas, TX",3275.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Dallas, TX",4124.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","San Francisco, CA",450.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","San Francisco, CA",473.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","San Francisco, CA",521.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","San Francisco, CA",591.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Austin, TX",2078.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Austin, TX",2917.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Austin, TX",3792.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Austin, TX",4668.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Jacksonville, FL",2464.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Jacksonville, FL",3458.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Jacksonville, FL",5014.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Jacksonville, FL",6397.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Indianapolis, IN",2052.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Indianapolis, IN",2880.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Indianapolis, IN",3744.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Indianapolis, IN",4752.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Columbus, OH",2161.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Columbus, OH",3033.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Columbus, OH",4095.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Columbus, OH",5308.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Fort Worth, TX",1697.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Fort Worth, TX",2381.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Fort Worth, TX",3214.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Fort Worth, TX",4047.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Charlotte, NC",2279.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Charlotte, NC",3198.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Charlotte, NC",4317.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Charlotte, NC",5597.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Seattle, WA",1504.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Seattle, WA",1583.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Seattle, WA",2374.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Seattle, WA",3165.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Denver, CO",2159.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Denver, CO",3030.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Denver, CO",3939.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Denver, CO",4848.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Los Angeles, CA","Washington, DC",4332.00,10' Truck,Studio to 1 Bedroom Apt.
"Los Angeles, CA","Washington, DC",4560.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Los Angeles, CA","Washington, DC",6156.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Los Angeles, CA","Washington, DC",7752.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Houston, TX",1385.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Houston, TX",1456.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Houston, TX",1603.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Houston, TX",1822.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Miami, FL",1913.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Miami, FL",2014.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Miami, FL",2215.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Miami, FL",2518.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Philadelphia, PA",1269.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Philadelphia, PA",1336.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Philadelphia, PA",1471.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Philadelphia, PA",1672.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Phoenix, AZ",2165.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Phoenix, AZ",2279.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Phoenix, AZ",2507.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Phoenix, AZ",2849.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","San Antonio, TX",1461.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","San Antonio, TX",1539.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","San Antonio, TX",1693.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","San Antonio, TX",1923.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","San Diego, CA",2414.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","San Diego, CA",2541.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","San Diego, CA",2796.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","San Diego, CA",3175.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Dallas, TX",1172.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Dallas, TX",1233.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Dallas, TX",1357.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Dallas, TX",1541.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","San Francisco, CA",2491.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","San Francisco, CA",2621.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","San Francisco, CA",2883.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","San Francisco, CA",3275.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Austin, TX",1433.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Austin, TX",1509.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Austin, TX",1658.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Austin, TX",1886.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Jacksonville, FL",1571.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Jacksonville, FL",1654.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Jacksonville, FL",1821.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Jacksonville, FL",2067.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Indianapolis, IN",185.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Indianapolis, IN",230.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Indianapolis, IN",266.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Indianapolis, IN",302.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Columbus, OH",427.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Columbus, OH",450.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Columbus, OH",494.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Columbus, OH",562.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Fort Worth, TX",1189.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Fort Worth, TX",1252.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Fort Worth, TX",1378.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Fort Worth, TX",1565.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Charlotte, NC",1269.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Charlotte, NC",1336.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Charlotte, NC",1471.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Charlotte, NC",1672.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Seattle, WA",2366.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Seattle, WA",2491.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Seattle, WA",2740.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Seattle, WA",3114.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Denver, CO",1226.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Denver, CO",1290.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Denver, CO",1419.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Denver, CO",1613.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Chicago, IL","Washington, DC",809.00,9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries
"Chicago, IL","Washington, DC",1200.00,10' Truck,Studio to 1 Bedroom Apt.
"Chicago, IL","Washington, DC",1264.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Chicago, IL","Washington, DC",1391.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Chicago, IL","Washington, DC",1579.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Miami, FL",1390.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Miami, FL",1465.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Miami, FL",1610.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Miami, FL",1830.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Philadelphia, PA",1953.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Philadelphia, PA",2054.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Philadelphia, PA",2259.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Philadelphia, PA",2569.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Phoenix, AZ",1444.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Phoenix, AZ",1520.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Phoenix, AZ",2280.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Phoenix, AZ",3041.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","San Antonio, TX",250.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","San Antonio, TX",269.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","San Antonio, TX",309.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","San Antonio, TX",350.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","San Diego, CA",1597.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","San Diego, CA",1681.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","San Diego, CA",1848.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","San Diego, CA",2101.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Dallas, TX",187.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Dallas, TX",197.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Dallas, TX",217.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Dallas, TX",247.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","San Francisco, CA",1907.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","San Francisco, CA",2009.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","San Francisco, CA",2209.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","San Francisco, CA",2510.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Austin, TX",158.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Austin, TX",166.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Austin, TX",183.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Austin, TX",208.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Jacksonville, FL",1155.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Jacksonville, FL",1217.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Jacksonville, FL",1338.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Jacksonville, FL",1520.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Indianapolis, IN",1185.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Indianapolis, IN",1248.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Indianapolis, IN",1374.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Indianapolis, IN",1560.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Columbus, OH",1283.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Columbus, OH",1351.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Columbus, OH",1486.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Columbus, OH",1687.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Fort Worth, TX",202.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Fort Worth, TX",212.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Fort Worth, TX",233.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Fort Worth, TX",266.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Charlotte, NC",1339.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Charlotte, NC",1408.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
